index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
0	located_on_h3_cell	https://www.openstreetmap.org/way/877683730	osmplace	891f02bb5cfffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
1	located_on_h3_cell	https://www.openstreetmap.org/way/316092415	osmplace	891f02b1a3bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
2	located_on_h3_cell	https://www.openstreetmap.org/way/316092999	osmplace	891f02b197bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
3	located_on_h3_cell	https://www.openstreetmap.org/way/392033980	osmplace	891f02b9073ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
4	located_on_h3_cell	https://www.openstreetmap.org/way/884321303	osmplace	891f02b19afffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
5	located_on_h3_cell	https://www.openstreetmap.org/way/210442004	osmplace	891f02ba553ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
6	located_on_h3_cell	891f02b8533ffff	h3place	https://www.openstreetmap.org/way/882173332	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
7	located_on_h3_cell	https://www.openstreetmap.org/way/366484426	osmplace	891f02b184bffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
8	located_on_h3_cell	https://www.openstreetmap.org/way/429377095	osmplace	891f02b1a2bffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
9	hasOSMTag	891f02b85afffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
10	located_on_h3_cell	https://www.openstreetmap.org/way/339319097	osmplace	891f02b8533ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
11	located_on_h3_cell	891f02a3017ffff	h3place	https://www.openstreetmap.org/way/354603429	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
12	hasOSMTag	891f02a3017ffff	h3place	industrial	osmtag	False	2.0		Environment_NEG_geological around (Wismar) radius=15.0
13	hasOSMTag	891f02b18cbffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
14	located_on_h3_cell	https://www.openstreetmap.org/way/316094135	osmplace	891f02b086bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
15	located_on_h3_cell	891f02a364bffff	h3place	https://www.openstreetmap.org/way/354001409	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
16	located_on_h3_cell	https://www.openstreetmap.org/way/858740036	osmplace	891f02bae2bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
17	hasOSMTag	891f02a364bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
18	located_on_h3_cell	891f02ba50bffff	h3place	https://www.openstreetmap.org/way/315976221	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
19	located_on_h3_cell	https://www.openstreetmap.org/way/366777595	osmplace	891f02a0563ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
20	located_on_h3_cell	891f02ba50bffff	h3place	https://www.openstreetmap.org/way/315976215	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
21	located_on_h3_cell	https://www.openstreetmap.org/way/882173340	osmplace	891f02b9077ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
22	located_on_h3_cell	https://www.openstreetmap.org/way/498807223	osmplace	891f02a1c03ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
23	located_on_h3_cell	https://www.openstreetmap.org/way/316091167	osmplace	891f02b1a77ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
24	located_on_h3_cell	891f02ba50bffff	h3place	https://www.openstreetmap.org/way/315976218	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
25	located_on_h3_cell	891f02bb5cbffff	h3place	https://www.openstreetmap.org/way/321539689	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
26	hasOSMTag	891f02b19afffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
27	hasOSMTag	891f02ba50bffff	h3place	primary	osmtag	False	4.0		Transport_NEG_aeroway around (Wismar) radius=15.0
28	hasOSMTag	891f02b1a3bffff	h3place	primary	osmtag	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
29	hasOSMTag	891f02bae63ffff	h3place	primary	osmtag	False	3.0		Transport_NEG_aeroway around (Wismar) radius=15.0
30	located_on_h3_cell	891f02b854bffff	h3place	https://www.openstreetmap.org/way/338042398	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
31	located_on_h3_cell	891f02bac37ffff	h3place	https://www.openstreetmap.org/node/386110984	osmplace	False		6.0	Lifestyle_NEG_shop around (Wismar) radius=15.0
32	hasOSMTag	891f02b1107ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
33	located_on_h3_cell	891f02bb40fffff	h3place	https://www.openstreetmap.org/way/296833991	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
34	located_on_h3_cell	891f02bb433ffff	h3place	https://www.openstreetmap.org/way/321539687	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
35	hasOSMTag	891f02a019bffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Wismar) radius=15.0
36	hasOSMTag	891f02bae67ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
37	located_on_h3_cell	891f02bae67ffff	h3place	https://www.openstreetmap.org/way/381739009	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
38	located_on_h3_cell	https://www.openstreetmap.org/way/499770256	osmplace	891f02b1a77ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
39	located_on_h3_cell	https://www.openstreetmap.org/way/393565779	osmplace	891f02b8e8bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
40	hasOSMTag	891f02b1a73ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
41	located_on_h3_cell	891f02bae63ffff	h3place	https://www.openstreetmap.org/way/260927031	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
42	hasOSMTag	891f02bac37ffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Wismar) radius=15.0
43	located_on_h3_cell	891f02b18cbffff	h3place	https://www.openstreetmap.org/way/366484399	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
44	located_on_h3_cell	https://www.openstreetmap.org/way/395596918	osmplace	891f028e9d7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
45	located_on_h3_cell	891f02b1a3bffff	h3place	https://www.openstreetmap.org/way/316091159	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
46	located_on_h3_cell	891f02b1a73ffff	h3place	https://www.openstreetmap.org/way/551646603	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
47	located_on_h3_cell	https://www.openstreetmap.org/node/6366883294	osmplace	891f02bac33ffff	h3place	False		6.0	Lifestyle_NEG_shop around (Wismar) radius=15.0
48	located_on_h3_cell	https://www.openstreetmap.org/way/310902724	osmplace	891f02b0203ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
49	located_on_h3_cell	https://www.openstreetmap.org/way/321539690	osmplace	891f02bb51bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
50	hasOSMTag	hangar	osmtag	891f02b1e8bffff	h3place	False	5.0		Transport_NEG_aeroway around (Wismar) radius=15.0
51	located_on_h3_cell	https://www.openstreetmap.org/way/356011637	osmplace	891f02a0507ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
52	located_on_h3_cell	https://www.openstreetmap.org/way/350785441	osmplace	891f02a101bffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
53	located_on_h3_cell	https://www.openstreetmap.org/node/386110984	osmplace	891f02bac37ffff	h3place	False		6.0	Lifestyle_NEG_shop around (Wismar) radius=15.0
54	hasOSMTag	industrial	osmtag	891f02a3017ffff	h3place	False	2.0		Environment_NEG_geological around (Wismar) radius=15.0
55	located_on_h3_cell	891f02b0817ffff	h3place	https://www.openstreetmap.org/way/363084452	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
56	hasOSMTag	891f02a0507ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
57	located_on_h3_cell	891f02bb5cfffff	h3place	https://www.openstreetmap.org/way/321539688	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
58	located_on_h3_cell	891f02a0507ffff	h3place	https://www.openstreetmap.org/way/356011637	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
59	located_on_h3_cell	891f02842a7ffff	h3place	https://www.openstreetmap.org/way/925358001	osmplace	False		6.0	Lifestyle_NEG_shop around (Wismar) radius=15.0
60	hasOSMTag	industrial	osmtag	891f02a364bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
61	located_on_h3_cell	https://www.openstreetmap.org/way/321349792	osmplace	891f02b8543ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
62	located_on_h3_cell	https://www.openstreetmap.org/way/600807376	osmplace	891f02baca3ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
63	located_on_h3_cell	891f02a01dbffff	h3place	https://www.openstreetmap.org/way/229785618	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
64	hasOSMTag	trunk	osmtag	891f02b1a73ffff	h3place	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
65	located_on_h3_cell	891f02b086bffff	h3place	https://www.openstreetmap.org/way/316094133	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
66	located_on_h3_cell	https://www.openstreetmap.org/way/322857161	osmplace	891f02b1a6bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
67	hasOSMTag	891f02bb40fffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
68	hasOSMTag	quarry	osmtag	891f02a101bffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
69	located_on_h3_cell	891f02aacd3ffff	h3place	https://www.openstreetmap.org/way/93475712	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
70	located_on_h3_cell	https://www.openstreetmap.org/way/354603427	osmplace	891f02a308fffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
71	located_on_h3_cell	891f02ba173ffff	h3place	https://www.openstreetmap.org/way/410338561	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
72	hasOSMTag	891f02842a7ffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Wismar) radius=15.0
73	hasOSMTag	industrial	osmtag	891f02b126fffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
74	located_on_h3_cell	891f02a26afffff	h3place	https://www.openstreetmap.org/way/361425332	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
75	located_on_h3_cell	891f02bae6bffff	h3place	https://www.openstreetmap.org/way/322698084	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
76	located_on_h3_cell	891f02a312fffff	h3place	https://www.openstreetmap.org/way/687684742	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
77	located_on_h3_cell	891f02a312fffff	h3place	https://www.openstreetmap.org/way/498980098	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
78	hasOSMTag	industrial	osmtag	891f02b0887ffff	h3place	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
79	located_on_h3_cell	891f02ba437ffff	h3place	https://www.openstreetmap.org/way/315967084	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
80	hasOSMTag	891f02aa08bffff	h3place	fast_food	osmtag	False	1.0		Lifestyle_NEG_shop around (Wismar) radius=15.0
81	located_on_h3_cell	https://www.openstreetmap.org/way/316094133	osmplace	891f02b086bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
82	hasOSMTag	891f028e9d7ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
83	hasOSMTag	891f02bae3bffff	h3place	primary	osmtag	False	3.0		Transport_NEG_aeroway around (Wismar) radius=15.0
84	located_on_h3_cell	891f02b0bd3ffff	h3place	https://www.openstreetmap.org/way/362025440	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
85	located_on_h3_cell	https://www.openstreetmap.org/way/395596919	osmplace	891f028e917ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
86	located_on_h3_cell	891f02bae3bffff	h3place	https://www.openstreetmap.org/way/858740031	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
87	located_on_h3_cell	https://www.openstreetmap.org/way/261101097	osmplace	891f02baa47ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
88	located_on_h3_cell	891f02bae6bffff	h3place	https://www.openstreetmap.org/way/687172327	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
89	located_on_h3_cell	891f02b1347ffff	h3place	https://www.openstreetmap.org/way/594849773	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
90	located_on_h3_cell	https://www.openstreetmap.org/way/882173336	osmplace	891f02b91dbffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
91	hasOSMTag	891f02a312fffff	h3place	primary	osmtag	False	3.0		Transport_NEG_aeroway around (Wismar) radius=15.0
92	hasOSMTag	industrial	osmtag	891f02b1a2bffff	h3place	False	2.0		Environment_NEG_geological around (Wismar) radius=15.0
93	hasOSMTag	891f02b113bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
94	hasOSMTag	891f02b8053ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
